|name      |ra           |dec          |spect_type  |vmag |
|HIP 31121 |06 31 50.0675|-08 09 29.452|K2III       | 5.43|
|HIP 62423 |12 47 34.3413|+66 47 25.137|K5III       | 5.43|
|HIP 117447|23 48 50.1749|+62 12 52.272|A3Ia comp   | 5.43|
|HIP 54477 |11 08 44.0477|-28 04 50.219|A1V         | 5.43|
|HIP 9326  |01 59 46.1883|-20 49 28.472|M0/M1III    | 5.43|
|HIP 91237 |18 36 39.0927|+06 40 19.762|F3V         | 5.43|
|HIP 19483 |04 10 22.5198|-06 55 25.764|G8III       | 5.44|
|HIP 101243|20 31 18.8085|+49 13 13.344|M2III       | 5.44|
|HIP 15547 |03 20 19.5804|+77 44 05.645|A6V         | 5.44|
|HIP 87847 |17 56 47.7482|-04 04 54.487|G9III       | 5.44|
|HIP 76397 |15 36 12.1365|-44 23 48.081|M0III       | 5.44|
|HIP 29736 |06 15 44.9662|+12 33 03.854|B9II-III    | 5.44|
|HIP 17776 |03 48 20.8042|+23 25 16.909|B8V         | 5.44|
|HIP 32439 |06 46 14.4695|+79 33 58.601|F8V         | 5.44|
|HIP 43851 |08 55 55.5561|+11 37 33.810|K5III       | 5.44|
|HIP 34724 |07 11 23.6316|-00 18 06.860|F2V         | 5.44|
|HIP 38497 |07 53 03.5143|-36 21 49.586|K1IIICN...  | 5.44|
|HIP 24829 |05 19 22.1138|-50 36 23.472|F7III-IV    | 5.44|
|HIP 64094 |13 08 07.1589|-65 18 21.663|WC6 + O9.5I | 5.44|
|HIP 58379 |11 58 15.2472|-56 19 02.332|B8III       | 5.44|
|HIP 47204 |09 37 12.6762|-53 40 06.550|A2/A3V      | 5.44|
|HIP 43932 |08 56 56.6343|+32 54 38.122|A7IV        | 5.44|
|HIP 90414 |18 26 54.0090|-48 07 01.591|K0/K1III+.. | 5.44|
|HIP 79963 |16 19 17.6404|-42 40 26.184|A3Vn        | 5.44|
|HIP 4510  |00 57 50.1484|+28 59 32.048|G6III       | 5.44|
|HIP 78893 |16 06 19.7321|+67 48 35.933|A0Vn        | 5.44|
|HIP 115152|23 19 29.7879|+48 37 30.706|K0III       | 5.44|
|HIP 52737 |10 46 52.0649|-17 17 48.589|A3V         | 5.44|
|HIP 99631 |20 13 13.8674|-01 00 33.358|K5III       | 5.44|
|HIP 33184 |06 54 24.6570|-01 07 37.059|A4IV        | 5.44|
|HIP 24254 |05 12 22.4495|+73 56 48.280|B9p Si      | 5.44|
|HIP 26649 |05 39 49.8515|-32 37 44.901|G6/G8III    | 5.44|
|HIP 113996|23 05 09.7149|-07 41 37.747|F2V         | 5.44|
|HIP 13782 |02 57 23.7013|-23 51 43.476|A5IV/V      | 5.44|
|HIP 19805 |04 14 48.5492|-62 11 31.378|K0III       | 5.45|
|HIP 12332 |02 38 48.9990|+21 57 41.202|A7V         | 5.45|
|HIP 2942  |00 37 21.2260|+35 23 58.236|G5III       | 5.45|
|HIP 46594 |09 30 05.1280|-51 31 01.895|B8V         | 5.45|
|HIP 17489 |03 44 48.2021|+24 17 22.478|B7IV        | 5.45|
|HIP 96556 |19 37 47.2564|-04 38 51.035|F3IV        | 5.45|
|HIP 36616 |07 31 48.3709|+17 05 10.425|K2III       | 5.45|
|HIP 18975 |04 03 56.5051|+08 11 49.925|F2V         | 5.45|
|HIP 4293  |00 55 00.2994|-69 31 37.124|G7III       | 5.45|
|HIP 25993 |05 32 51.3769|-38 30 48.045|K2/K3III    | 5.45|
|HIP 74305 |15 11 15.9843|-55 20 45.652|G2Ib/II     | 5.45|
|HIP 44405 |09 02 44.2670|+24 27 10.557|A0III       | 5.45|
|HIP 79754 |16 16 43.2698|-53 48 39.988|M2IV        | 5.45|
|HIP 42459 |08 39 23.8668|-53 26 23.369|B5V         | 5.45|
|HIP 95503 |19 25 29.6715|-23 57 44.727|K3III       | 5.45|
|HIP 104382|21 08 46.0141|-88 57 23.440|F0III       | 5.45|
|HIP 21735 |04 40 03.4183|+12 11 51.507|B8IV        | 5.45|
|HIP 77902 |15 54 34.6639|+20 18 39.109|M0III       | 5.45|
|HIP 41323 |08 25 51.9231|-42 09 11.175|B3V         | 5.45|
|HIP 19398 |04 09 17.8363|-16 23 09.158|B5IV        | 5.45|
|HIP 63031 |12 54 58.3478|-85 07 24.321|K0III       | 5.45|
|HIP 113357|22 57 27.8507|+20 46 07.263|G5V         | 5.45|
|HIP 14376 |03 05 26.6873|+25 15 18.717|B7Vn        | 5.45|
|HIP 89507 |18 15 53.3935|-44 12 23.387|G8/K0III    | 5.45|
|HIP 108294|21 56 22.7883|-37 15 13.073|A3V         | 5.45|
|HIP 60855 |12 28 22.4859|-39 02 28.097|B8/B9V      | 5.45|
|HIP 53273 |10 53 43.7609|-02 07 45.269|G8III       | 5.45|
|HIP 109789|22 14 18.7363|-27 46 00.884|B7V         | 5.45|
|HIP 73624 |15 02 59.2904|-32 38 35.686|B3V         | 5.45|
|HIP 33384 |06 56 34.4803|-79 25 12.681|B9.5V       | 5.45|
|HIP 59394 |12 11 03.8811|-23 36 08.541|A1V         | 5.45|
|HIP 111056|22 29 52.9682|+78 49 27.614|A3V         | 5.45|
|HIP 33478 |06 57 33.9690|-24 37 51.801|F3V         | 5.45|
|HIP 42286 |08 37 18.8466|-62 51 12.284|K0III       | 5.45|
|HIP 3083  |00 39 09.8870|+49 21 16.543|K5III       | 5.45|
|HIP 35180 |07 16 14.5804|-15 35 08.357|A1V         | 5.46|
|HIP 34912 |07 13 23.3934|+51 25 43.365|M3III       | 5.46|
|HIP 27196 |05 45 54.0488|+49 49 34.618|A0p...      | 5.46|
|HIP 92308 |18 48 50.4705|-43 40 47.989|A2Vn        | 5.46|
|HIP 25861 |05 31 14.5319|+03 17 31.686|B1.5V       | 5.46|
|HIP 46741 |09 31 36.3232|-73 04 51.307|K4III       | 5.46|
|HIP 46358 |09 27 06.4981|-71 36 07.531|K2III       | 5.46|
|HIP 95073 |19 20 35.6832|-00 53 31.807|B9III       | 5.46|
|HIP 79488 |16 13 15.4082|+05 01 15.956|K5III       | 5.46|
|HIP 66634 |13 39 30.5796|+52 55 15.857|A3Vn        | 5.46|
|HIP 67304 |13 47 38.6698|-50 19 14.402|K2III       | 5.46|
|HIP 94827 |19 17 43.6353|+23 01 31.977|B0.5IV      | 5.46|
|HIP 75572 |15 26 17.4648|+34 20 09.059|K4III       | 5.46|
|HIP 92831 |18 54 52.1782|+41 36 09.821|G8III       | 5.46|
|HIP 56700 |11 37 34.0502|-47 44 50.559|K2III       | 5.46|
|HIP 106787|21 37 45.3684|+19 19 06.869|F1IV        | 5.46|
|HIP 25768 |05 30 09.4618|-47 04 38.403|G3IV        | 5.46|
|HIP 4288  |00 54 58.0199|+23 37 42.405|K1IV        | 5.46|
|HIP 19009 |04 04 21.6737|+24 06 21.695|G0III...    | 5.46|
|HIP 75647 |15 27 18.1448|-36 46 03.005|B5V         | 5.46|
|HIP 63066 |12 55 19.4615|-42 54 56.525|M0III       | 5.46|
|HIP 82676 |16 54 01.8382|-41 48 22.979|B0.5Ia      | 5.46|
|HIP 81305 |16 36 22.5659|-42 51 31.874|O9Ia        | 5.46|
|HIP 68940 |14 06 42.9065|-09 18 48.690|F2IV        | 5.46|
|HIP 20156 |04 19 13.1822|+50 02 55.815|A7V         | 5.46|
|HIP 52595 |10 45 16.3751|-80 28 10.284|K0III       | 5.46|
|HIP 62131 |12 44 00.5503|-28 19 25.900|K3III       | 5.46|
|HIP 98194 |19 57 13.8625|+40 22 04.170|B5V         | 5.46|
|HIP 56290 |11 32 20.7570|+61 04 57.906|F6V         | 5.46|
|HIP 28943 |06 06 32.1032|-23 06 38.795|A2V         | 5.46|
|HIP 24902 |05 20 14.6837|+41 05 10.821|A3V         | 5.46|
|HIP 95865 |19 29 52.1724|-26 59 07.838|K1/K2III    | 5.46|
|HIP 42637 |08 41 19.6015|-78 57 48.335|B9IV        | 5.46|
|HIP 21685 |04 39 19.6381|-14 21 31.994|K0III       | 5.46|
|HIP 96536 |19 37 34.4767|-14 18 05.200|F7V         | 5.46|
|HIP 27566 |05 50 16.7993|-79 21 41.483|B9.5V       | 5.46|
|HIP 34624 |07 10 19.3266|-27 29 29.489|G8III       | 5.46|
|HIP 78400 |16 00 19.9789|-16 31 56.580|F7V         | 5.47|
|HIP 90913 |18 32 43.3222|-14 51 56.355|K3Iab       | 5.47|
|HIP 13965 |02 59 49.7826|+47 13 14.299|G4p         | 5.47|
|HIP 44961 |09 09 35.5798|-08 47 15.470|G8II        | 5.47|
|HIP 22871 |04 55 11.1397|-74 56 13.208|K6III       | 5.47|
|HIP 42080 |08 34 36.1873|+65 08 42.985|A2m         | 5.47|
|HIP 84720 |17 19 02.9543|-46 38 11.400|M0V         | 5.47|
|HIP 61071 |12 31 00.5681|+24 34 01.882|A2pvar      | 5.47|
|HIP 110725|22 26 00.7829|+70 46 15.188|K2III       | 5.47|
|HIP 22626 |04 52 05.1695|+63 30 20.340|M2III       | 5.47|
|HIP 89042 |18 10 26.2595|-62 00 09.964|G0V         | 5.47|
|HIP 106044|21 28 44.7873|-69 30 18.984|M5III       | 5.47|
|HIP 20982 |04 30 00.5987|+83 20 24.473|G8III       | 5.47|
|HIP 90133 |18 23 36.4383|-75 02 39.572|A0V         | 5.47|
|HIP 52004 |10 37 27.0763|-58 44 00.000|A0Ia        | 5.47|
|HIP 53781 |11 00 14.6962|+45 31 34.569|K5III       | 5.47|
|HIP 27338 |05 47 26.1974|+17 43 44.950|F0III       | 5.47|
|HIP 65112 |13 20 37.8544|-52 44 52.026|B6V         | 5.47|
|HIP 4104  |00 52 40.6009|-24 00 21.332|K1III       | 5.47|
|HIP 25695 |05 29 16.4928|+25 09 01.101|B9Vn        | 5.47|
|HIP 21039 |04 30 38.8267|+15 41 30.978|Am          | 5.47|
|HIP 87747 |17 55 25.1861|+26 02 59.923|F2Iavar     | 5.47|
|HIP 72582 |14 50 29.8022|+37 16 18.534|K0III-IV    | 5.47|
|HIP 34440 |07 08 22.0424|+15 55 51.335|G8III       | 5.47|
|HIP 43325 |08 49 39.1668|-40 19 12.562|A2/A3IV     | 5.47|
|HIP 60941 |12 29 27.0538|+24 06 32.115|F5III       | 5.47|
|HIP 90923 |18 32 49.9488|+30 33 15.050|B8IV        | 5.47|
|HIP 110936|22 28 39.1819|-39 07 53.044|G8III       | 5.47|
|HIP 103145|20 53 53.9065|+33 26 16.111|K5III       | 5.47|
|HIP 89290 |18 13 12.6997|-41 20 09.947|B2.5III     | 5.47|
|HIP 102014|20 40 19.8125|-33 25 54.949|K1III       | 5.47|
|HIP 60044 |12 18 50.0652|+75 09 37.981|A1V         | 5.47|
|HIP 38639 |07 54 42.7386|+47 33 52.532|K4III       | 5.47|
|HIP 68581 |14 02 22.8028|-27 25 47.147|K2/K3III    | 5.47|
|HIP 16470 |03 32 08.5809|+48 01 24.722|B8IIIp Mn   | 5.47|
|HIP 73133 |14 56 46.1071|-11 24 35.020|K4III       | 5.48|
|HIP 38048 |07 47 56.7821|-12 11 34.414|F5+...      | 5.48|
|HIP 11249 |02 24 49.0447|+10 36 38.153|B7IV        | 5.48|
|HIP 72664 |14 51 26.5747|+59 17 37.149|K4III       | 5.48|
|HIP 24679 |05 17 40.2463|-13 31 10.948|G8IV        | 5.48|
|HIP 61318 |12 33 46.7973|-09 27 07.480|A0V         | 5.48|
|HIP 82402 |16 50 19.3507|+07 14 51.739|A3m         | 5.48|
|HIP 82135 |16 46 47.9715|-39 22 36.834|K0III       | 5.48|
|HIP 44613 |09 05 24.1065|+48 31 49.290|F6II-III    | 5.48|
|HIP 42712 |08 42 16.1975|-48 05 56.756|B1.5Vn      | 5.48|
|HIP 30214 |06 21 24.7178|-11 46 23.677|B1Vpe SB    | 5.48|
|HIP 102497|20 46 20.0316|-39 11 57.081|B8/B9V      | 5.48|
|HIP 80008 |16 19 55.2408|+39 42 30.926|F3IV-V      | 5.48|
|HIP 18141 |03 52 41.6540|-05 21 40.470|B8+...      | 5.48|
|HIP 105767|21 25 16.9649|-03 33 23.680|K4III       | 5.48|
|HIP 105668|21 24 11.4385|-12 52 41.269|F0V         | 5.48|
|HIP 38593 |07 54 11.0113|-35 52 38.264|B2V         | 5.48|
|HIP 13265 |02 50 40.4039|-35 40 32.580|K2III       | 5.48|
|HIP 82960 |16 57 11.1720|-33 15 34.088|K5III       | 5.48|
|HIP 79280 |16 10 49.5285|+75 52 39.111|B8V         | 5.48|
|HIP 103094|20 53 18.5587|+45 10 54.060|K0II        | 5.48|
|HIP 76957 |15 42 50.8232|+52 21 38.990|B9p...      | 5.48|
|HIP 56802 |11 38 39.9570|-13 12 08.098|F7V         | 5.48|
|HIP 27517 |05 49 36.5549|-14 29 00.780|G8III       | 5.49|
|HIP 103401|20 56 54.0299|-09 41 51.060|K5III       | 5.49|
|HIP 110078|22 17 50.6958|-77 30 41.717|F3III       | 5.49|
|HIP 8240  |01 46 05.9260|-50 48 58.367|M3III       | 5.49|
|HIP 45526 |09 16 41.3768|-08 44 41.134|B9III       | 5.49|
|HIP 61724 |12 39 07.3576|+21 03 45.291|G9III       | 5.49|
|HIP 22263 |04 47 36.2123|-16 56 05.522|G3V         | 5.49|
|HIP 61136 |12 31 40.3449|-59 25 26.091|F5III       | 5.49|
|HIP 117375|23 47 56.4867|-02 45 41.800|G8III       | 5.49|
|HIP 50303 |10 16 14.4794|+29 18 38.015|A0Vn        | 5.49|
|HIP 7213  |01 32 56.0521|-36 51 54.654|K1/K2III    | 5.49|
|HIP 52689 |10 46 25.3528|+14 11 41.289|G4III:      | 5.49|
|HIP 116611|23 37 56.7728|+18 24 02.247|A1Vn        | 5.49|
|HIP 42715 |08 42 19.0150|-53 06 00.413|B8...       | 5.49|
|HIP 91004 |18 33 53.4878|-24 01 56.155|K3III       | 5.49|
|HIP 29150 |06 08 57.8673|-22 25 38.221|A0V         | 5.49|
|HIP 37901 |07 46 02.1615|-06 46 20.224|K5III       | 5.49|
|HIP 46578 |09 29 54.5187|-26 35 22.622|K2IIICNII   | 5.49|
|HIP 93667 |19 04 25.0551|-31 02 49.317|A0V         | 5.49|
|HIP 79672 |16 15 37.1334|-08 22 05.651|G1V         | 5.49|
|HIP 14417 |03 06 07.9521|+79 25 06.637|F7IV comp SB| 5.49|
|HIP 18434 |03 56 28.6881|+35 04 51.270|B1.5V       | 5.49|
|HIP 97063 |19 43 33.4482|-15 28 10.759|F5V         | 5.49|
|HIP 88836 |18 08 02.3073|+36 24 06.179|K2III       | 5.49|
|HIP 3607  |00 46 11.6293|-22 31 19.442|G8/K0III    | 5.49|
|HIP 89369 |18 14 15.9102|-21 42 47.185|K2III       | 5.49|
|HIP 15338 |03 17 47.3318|+44 01 30.295|B8V...      | 5.49|
|HIP 67172 |13 45 56.3307|-12 25 35.570|G8III       | 5.50|
|HIP 97077 |19 43 42.9177|+25 46 18.741|G8III       | 5.50|
|HIP 76133 |15 32 57.9479|-01 11 10.677|K0III       | 5.50|
|HIP 22958 |04 56 24.1892|-05 10 16.862|B6V         | 5.50|
|HIP 89065 |18 10 40.2888|+03 19 27.367|K2III       | 5.50|
|HIP 25950 |05 32 14.1446|+17 03 29.356|B7III       | 5.50|
|HIP 34000 |07 03 15.1094|-59 10 41.287|B9IV        | 5.50|
|HIP 24450 |05 14 44.0523|+05 09 22.066|K4III       | 5.50|
|HIP 81141 |16 34 19.3694|-70 59 17.034|K1IIICN...  | 5.50|
|HIP 15861 |03 24 18.4648|+24 43 27.076|K4III       | 5.50|
|HIP 1647  |00 20 39.0429|-69 37 29.682|B9V         | 5.50|
|HIP 79199 |16 09 52.6072|-33 32 44.505|B8V         | 5.50|
|HIP 81252 |16 35 44.7710|-65 29 43.185|G8/K0III    | 5.50|
|HIP 52686 |10 46 24.4871|+18 53 29.838|K3III       | 5.50|
|HIP 100435|20 22 03.4295|+24 26 46.018|B8IIIn      | 5.50|
|HIP 115836|23 28 03.5667|-87 28 56.071|K2III       | 5.50|
|HIP 56497 |11 34 57.0045|-49 08 13.011|K1III/IV    | 5.50|
|HIP 76106 |15 32 36.7130|-19 40 13.309|A2IV        | 5.50|
|HIP 23900 |05 08 06.6223|+24 15 54.676|B2V...      | 5.50|
|HIP 29064 |06 07 52.8676|-42 09 14.405|A0V         | 5.50|
|HIP 35564 |07 20 21.4576|-52 18 42.777|F2          | 5.50|
|HIP 6732  |01 26 41.6470|+19 14 26.033|K1III       | 5.50|
|HIP 105913|21 27 01.6617|-42 32 52.676|Am          | 5.50|
|HIP 9570  |02 02 57.9669|+33 17 02.945|A2V         | 5.50|
|HIP 20171 |04 19 26.0789|+21 08 32.678|B9IV        | 5.50|
|HIP 51821 |10 35 12.8751|-39 33 45.348|C           | 5.50|
|HIP 4852  |01 02 26.3777|-31 33 07.352|A1/A2IV     | 5.50|
|HIP 108543|21 59 17.8802|-38 23 42.336|K1II/III    | 5.50|
|HIP 4889  |01 02 49.0866|+31 48 15.612|B9.5V       | 5.50|
|HIP 49005 |09 59 51.7199|+56 48 42.752|K5III       | 5.50|
|HIP 15643 |03 21 24.0255|-23 38 06.321|G8III       | 5.50|
|HIP 66435 |13 37 11.0543|+71 14 32.159|K2III       | 5.50|
|HIP 23043 |04 57 22.3474|+17 09 13.344|K1III       | 5.51|
|HIP 92549 |18 51 35.0014|+52 58 28.275|G9IVa       | 5.51|
|HIP 70915 |14 30 08.6601|-45 19 16.637|B8Vn        | 5.51|
|HIP 15201 |03 15 57.3580|-77 23 18.978|F4III       | 5.51|
|HIP 93340 |19 00 43.4671|+55 39 29.950|G5IIbCN...  | 5.51|
|HIP 93225 |18 59 23.8025|-12 50 25.665|B4V         | 5.51|
|HIP 14131 |03 02 15.3973|-71 54 08.984|B8III/IV    | 5.51|
|HIP 5346  |01 08 22.3439|+05 39 00.797|F0III-IV    | 5.51|
|HIP 99404 |20 10 33.5249|+26 54 14.894|A3III       | 5.51|
|HIP 87308 |17 50 22.8719|+29 19 19.296|K1III       | 5.51|
|HIP 98823 |20 04 08.3068|+07 16 40.563|K0III       | 5.51|
|HIP 98325 |19 58 37.9588|+30 59 01.218|B9Vn        | 5.51|
|HIP 111062|22 29 57.9485|+04 25 55.406|F5IVs       | 5.51|
|HIP 97260 |19 46 01.2159|-31 54 30.739|B8III       | 5.51|
|HIP 73193 |14 57 33.2163|-00 10 03.173|K1III       | 5.51|
|HIP 20860 |04 28 13.2954|+83 48 27.946|B5V         | 5.51|
|HIP 3675  |00 47 01.4264|+11 58 26.165|G8II        | 5.51|
|HIP 103527|20 58 25.9630|+10 50 21.730|G6III:      | 5.51|
|HIP 59232 |12 08 54.5981|-41 13 53.704|B3IV        | 5.51|
|HIP 75049 |15 20 08.6380|+29 36 58.720|K0III       | 5.51|
|HIP 92630 |18 52 27.2060|-46 35 42.430|M0III       | 5.51|
|HIP 47267 |09 38 01.4342|-43 11 27.129|G8II        | 5.51|
|HIP 19388 |04 09 09.9006|+19 36 33.457|K2III       | 5.51|
|HIP 2802  |00 35 41.1349|-48 00 02.377|F6V         | 5.51|
|HIP 94437 |19 13 15.5159|-12 16 57.035|K3III       | 5.51|
|HIP 54029 |11 03 14.9282|-11 18 11.553|G7III...    | 5.51|
|HIP 105259|21 19 15.6919|+58 37 24.636|B3Vv comp   | 5.51|
|HIP 29941 |06 18 13.7317|-19 58 01.171|B2/B3V      | 5.51|
|HIP 52422 |10 43 01.9468|+26 19 32.510|A4Vn        | 5.51|
|HIP 99518 |20 11 47.9736|+26 48 32.456|K3II-III    | 5.51|
|HIP 10642 |02 16 58.9895|-06 25 18.683|G8III       | 5.51|
|HIP 82480 |16 51 24.9387|+01 12 57.533|A2Vs        | 5.51|
|HIP 113532|22 59 35.7627|-29 27 44.365|F0V         | 5.51|
|HIP 67250 |13 46 59.8748|+38 32 33.900|K0III+...   | 5.51|
|HIP 84835 |17 20 21.1469|+46 14 26.450|M0III       | 5.51|
|HIP 41451 |08 27 16.7876|-70 05 36.943|A0V         | 5.51|
|HIP 107235|21 43 06.4828|+41 09 17.999|M2III       | 5.51|
|HIP 52221 |10 40 11.4636|-65 06 00.865|B9p Si      | 5.51|
|HIP 6748  |01 26 51.5564|-13 03 23.522|F0V         | 5.51|
|HIP 109474|22 10 38.9022|+70 07 57.050|F2V         | 5.52|
|HIP 94789 |19 17 12.2200|-66 39 39.735|A4IV/V      | 5.52|
|HIP 88816 |18 07 48.4038|-17 09 15.482|K0III       | 5.52|
|HIP 7978  |01 42 29.1510|-53 44 26.069|F8V         | 5.52|
|HIP 110817|22 27 05.3113|+65 07 56.188|B0.5Ib      | 5.52|
|HIP 40282 |08 13 34.2266|-50 11 45.841|M1III       | 5.52|
|HIP 41395 |08 26 42.0069|-12 32 04.344|K1/K2III    | 5.52|
|HIP 73497 |15 01 19.8099|-02 45 17.539|M0III       | 5.52|
|HIP 24555 |05 16 04.1392|+11 20 28.930|A0V         | 5.52|
|HIP 73634 |15 03 06.0836|+35 12 20.782|G8III:      | 5.52|
|HIP 107835|21 50 47.2256|-69 37 45.856|M0III       | 5.52|
|HIP 54336 |11 06 54.4309|+01 57 20.641|G9IIICN...  | 5.52|
|HIP 25555 |05 27 45.6059|+15 52 26.774|B9.5Vn      | 5.52|
|HIP 51384 |10 29 42.2083|+84 15 07.579|F0IV        | 5.52|
|HIP 13327 |02 51 29.5679|+15 04 55.658|B7V         | 5.52|
|HIP 39566 |08 05 03.7067|-53 06 28.489|K3/K4III    | 5.52|
|HIP 85385 |17 26 49.1272|+20 04 51.376|B5V         | 5.52|
|HIP 60170 |12 20 19.7201|+26 37 11.103|K2III-IV    | 5.52|
|HIP 102916|20 51 00.7632|-37 54 47.844|K3III       | 5.52|
|HIP 74732 |15 16 23.0327|-22 23 57.915|K2III       | 5.52|
|HIP 22854 |04 55 03.1418|+55 15 32.866|B9.5V       | 5.52|
|HIP 50935 |10 24 08.6144|+33 43 06.728|K1III       | 5.52|
|HIP 112381|22 45 40.8075|-46 32 50.280|K3III       | 5.52|
|HIP 90124 |18 23 28.8211|-36 14 16.800|K0III       | 5.52|
|HIP 39360 |08 02 44.7889|-41 18 35.515|Ap Si       | 5.52|
|HIP 107975|21 52 29.9561|+28 47 37.292|F6IVwvar    | 5.52|
|HIP 31583 |06 36 35.3303|-05 12 39.990|B8V         | 5.52|
|HIP 28098 |05 56 20.9428|-31 22 56.838|F2III       | 5.52|
|HIP 50456 |10 18 07.6006|-28 59 31.296|B9.5Ib/II   | 5.52|
|HIP 17738 |03 47 56.0230|-30 10 02.354|G6III       | 5.52|
|HIP 19335 |04 08 36.4949|+38 02 24.821|F7V         | 5.52|
|HIP 41152 |08 23 48.5292|+53 13 11.825|A3V         | 5.52|
|HIP 66091 |13 32 51.6885|-15 21 46.844|K1III       | 5.52|
|HIP 76126 |15 32 55.2277|-16 51 10.106|B3V         | 5.53|
|HIP 69658 |14 15 24.1130|-18 12 02.383|A0V         | 5.53|
|HIP 15330 |03 17 44.4691|-62 34 36.836|G2V         | 5.53|
|HIP 107586|21 47 25.3074|+60 41 33.697|M1III       | 5.53|
|HIP 77464 |15 48 56.8146|-03 49 06.701|A5IV        | 5.53|
|HIP 103981|21 04 04.7124|-05 49 22.977|G4          | 5.53|
|HIP 106227|21 30 59.2937|+60 27 33.985|B1II        | 5.53|
|HIP 81290 |16 36 11.4328|+52 53 59.923|B9.5Vn      | 5.53|
|HIP 86698 |17 42 51.0921|-36 56 43.827|K5III       | 5.53|
|HIP 94982 |19 19 39.3455|+12 22 28.701|F0III       | 5.53|
|HIP 21949 |04 43 03.9468|-70 55 52.003|B9IV        | 5.53|
|HIP 63950 |13 06 22.5841|+22 36 58.646|M5III       | 5.53|
|HIP 79980 |16 19 32.6823|-30 54 24.368|F5IV        | 5.53|
|HIP 83057 |16 58 17.9489|-50 38 27.930|B9IV        | 5.53|
|HIP 26382 |05 37 03.7096|+17 02 25.473|F0V         | 5.53|
|HIP 20789 |04 27 17.4477|+22 59 46.928|B7V         | 5.53|
|HIP 69462 |14 13 16.4207|-53 39 56.345|K5III+...   | 5.53|
|HIP 93843 |19 06 37.6841|+28 37 42.203|F0III       | 5.53|
|HIP 58159 |11 55 40.5276|+15 38 48.513|A3V         | 5.53|
|HIP 109745|22 13 49.1791|+45 26 26.172|A0III       | 5.53|
|HIP 115713|23 26 36.5443|-52 43 18.908|F4V         | 5.53|
|HIP 69536 |14 14 05.3318|+12 57 34.476|F6IV        | 5.53|
|HIP 113148|22 54 45.6048|-16 16 18.271|K1III       | 5.53|
|HIP 107   |00 01 20.1125|-50 20 14.637|M2III       | 5.53|
|HIP 30651 |06 26 25.8637|+56 17 06.157|A3m         | 5.53|
|HIP 49065 |10 00 43.9045|-82 12 53.084|A0IV        | 5.53|
|HIP 102066|20 41 02.5401|+32 18 26.337|G8IIb       | 5.53|
|HIP 12107 |02 36 00.0681|-07 49 53.231|M0III       | 5.53|
|HIP 78436 |16 00 47.6415|-08 24 40.767|A0Vs        | 5.53|
|HIP 22028 |04 44 07.9498|-18 39 59.555|A1V         | 5.53|
|HIP 110529|22 23 30.7858|-24 45 45.558|K0IIICN...  | 5.53|
|HIP 67819 |13 53 32.8202|-35 39 51.099|F3V         | 5.53|
|HIP 17167 |03 40 38.3331|-05 12 38.510|B9IIIp Si   | 5.53|
|HIP 40035 |08 10 39.9766|-13 47 57.651|F7V         | 5.53|
|HIP 20884 |04 28 32.1093|+01 22 51.147|B3V         | 5.53|
|HIP 8704  |01 51 59.3074|+55 08 50.657|B1.5V       | 5.53|
|HIP 89020 |18 10 05.8054|-30 43 42.951|K1III + (F) | 5.53|
|HIP 80460 |16 25 24.1658|+37 23 38.683|A5V         | 5.53|
|HIP 84551 |17 17 03.7143|-32 39 45.739|F6V         | 5.53|
|HIP 25853 |05 31 07.6236|-20 51 48.796|A0V         | 5.53|
|HIP 113969|23 04 52.1484|-68 49 13.367|F4III       | 5.53|
|HIP 27581 |05 50 28.9036|+14 18 20.516|G9III:      | 5.54|
|HIP 78132 |15 57 14.6447|+14 24 51.365|K1IV        | 5.54|
|HIP 98234 |19 57 45.4386|+16 47 20.815|B9III       | 5.54|
|HIP 35136 |07 15 50.1132|+47 14 25.498|G0V         | 5.54|
|HIP 58576 |12 00 44.3672|-10 26 41.421|K0IV        | 5.54|
|HIP 32609 |06 48 12.2323|+55 42 16.019|F5V:+...    | 5.54|
|HIP 75127 |15 21 07.6406|-05 49 29.377|K1III       | 5.54|
|HIP 103598|20 59 25.3326|+59 26 18.804|K4III       | 5.54|
|HIP 60212 |12 20 50.8302|+57 51 51.442|K5III       | 5.54|
|HIP 45219 |09 12 55.6248|-59 24 50.280|G6II        | 5.54|
|HIP 29842 |06 17 01.2300|-37 44 15.538|K2III       | 5.54|
|HIP 103298|20 55 38.5532|+12 34 06.625|A4V         | 5.54|
|HIP 56146 |11 30 29.0809|+18 24 35.059|K0III       | 5.54|
|HIP 77390 |15 47 53.0954|-65 26 31.884|A5          | 5.54|
|HIP 813   |00 10 02.1846|+11 08 44.913|B9V         | 5.54|
|HIP 7535  |01 37 05.9614|+12 08 29.438|F0V         | 5.54|
|HIP 86623 |17 41 58.6382|+15 57 07.846|F4Vw        | 5.54|
|HIP 29263 |06 10 10.4199|-40 21 14.292|M2II/III    | 5.54|
|HIP 86019 |17 34 46.3492|-11 14 31.225|B8Vn        | 5.54|
|HIP 57013 |11 41 19.8559|-43 05 44.438|A0V         | 5.54|
|HIP 97765 |19 52 01.5941|+24 59 31.818|A1Iab       | 5.54|
|HIP 25143 |05 22 50.3245|+41 01 45.312|A3V         | 5.54|
|HIP 115054|23 18 09.7861|-40 49 26.628|F5V         | 5.54|
|HIP 28524 |06 01 16.2941|-33 54 42.377|K5III       | 5.54|
|HIP 36039 |07 25 38.1885|-79 05 39.130|K2/K3III    | 5.54|
