|name      |ra           |dec          |spect_type  |vmag |
|HIP 78384 |16 00 07.3405|-38 23 47.907|B2.5IV      | 3.42|
|HIP 93805 |19 06 14.9499|-04 52 56.404|B9Vn        | 3.43|
|HIP 50335 |10 16 41.4043|+23 25 02.382|F0III       | 3.43|
|HIP 45080 |09 10 58.1053|-58 58 00.949|B2IV        | 3.43|
|HIP 50372 |10 17 05.9270|+42 54 52.087|A2IV        | 3.45|
|HIP 5364  |01 08 35.2637|-10 10 54.941|K2III       | 3.46|
|HIP 38827 |07 56 46.7417|-52 58 56.642|B3IVp       | 3.46|
|HIP 74666 |15 15 30.1038|+33 18 54.368|G8III       | 3.46|
|HIP 3821  |00 49 05.1006|+57 48 59.572|G0V SB      | 3.46|
|HIP 12706 |02 43 18.1246|+03 14 10.218|A3V         | 3.47|
|HIP 67472 |13 49 37.0078|-42 28 25.266|B2IV-Ve     | 3.47|
|HIP 49583 |10 07 19.9535|+16 45 45.597|A0Ib        | 3.48|
|HIP 81833 |16 42 53.7386|+38 55 20.860|G8III-IV    | 3.48|
|HIP 55219 |11 18 28.7553|+33 05 39.260|K3III SB    | 3.49|
|HIP 112623|22 48 33.1971|-51 19 00.133|A3V         | 3.49|
|HIP 90422 |18 26 58.4303|-45 58 05.985|B3IV        | 3.49|
|HIP 8102  |01 44 05.1275|-15 56 22.401|G8V         | 3.49|
|HIP 73555 |15 01 56.7931|+40 23 26.292|G8III       | 3.49|
|HIP 33856 |07 01 43.1517|-27 56 05.430|K4III       | 3.49|
|HIP 35550 |07 20 07.3893|+21 58 56.422|F0IV...     | 3.50|
|HIP 32759 |06 49 50.4655|-32 30 30.555|B1.5IVne    | 3.50|
|HIP 112724|22 49 40.9122|+66 12 02.559|K0III       | 3.50|
|HIP 112748|22 50 00.1003|+24 36 06.065|M2III       | 3.51|
|HIP 98337 |19 58 45.3876|+19 29 31.534|K5III       | 3.51|
|HIP 17378 |03 43 14.9561|-09 45 54.715|K0IV        | 3.52|
|HIP 48774 |09 56 51.7548|-54 34 04.070|B5Ib        | 3.52|
|HIP 47508 |09 41 09.1179|+09 53 32.636|A5V+...     | 3.52|
|HIP 93085 |18 57 43.7797|-21 06 23.848|G8/K0II/III | 3.52|
|HIP 92420 |18 50 04.7939|+33 21 45.640|A8:V comp SB| 3.52|
|HIP 109427|22 10 11.8198|+06 11 52.040|A2V         | 3.52|
|HIP 40526 |08 16 30.9482|+09 11 08.387|K4III       | 3.53|
|HIP 20889 |04 28 36.9333|+19 10 49.875|K0III       | 3.53|
|HIP 77516 |15 49 37.2657|-03 25 48.508|A0V         | 3.54|
|HIP 56343 |11 33 00.2590|-31 51 27.087|G8III       | 3.54|
|HIP 86263 |17 37 35.2252|-15 23 54.270|F0IIIp      | 3.54|
|HIP 27288 |05 46 57.3497|-14 49 19.010|A2Vann      | 3.55|
|HIP 99240 |20 08 41.8601|-66 10 45.556|G5IV-Vvar   | 3.55|
|HIP 69996 |14 19 24.2327|-46 03 29.102|B2.5IV      | 3.55|
|HIP 20042 |04 17 53.6186|-33 47 53.993|B9V         | 3.55|
|HIP 89937 |18 21 02.3390|+72 44 01.311|F7Vvar      | 3.55|
|HIP 1562  |00 19 25.6830|-08 49 25.786|K2III       | 3.56|
|HIP 10602 |02 16 30.5003|-51 30 43.601|B8IV-V      | 3.56|
|HIP 55282 |11 19 20.5226|-14 46 44.557|K0III       | 3.56|
|HIP 82545 |16 52 20.1535|-38 01 02.920|B2IV        | 3.56|
|HIP 71053 |14 31 49.8578|+30 22 16.122|K3III       | 3.57|
|HIP 44471 |09 03 37.5588|+47 09 23.974|A1Vn        | 3.57|
|HIP 75177 |15 21 48.4365|-36 15 40.202|K5III       | 3.57|
|HIP 37740 |07 44 26.8686|+24 23 53.265|G8III       | 3.57|
|HIP 35350 |07 18 05.6068|+16 32 25.711|A3V...      | 3.58|
|HIP 100064|20 18 03.2185|-12 32 41.492|G6/G8III    | 3.58|
|HIP 57757 |11 50 41.2861|+01 45 55.357|F8V         | 3.59|
|HIP 60260 |12 21 21.8113|-60 24 04.932|K3/K4III    | 3.59|
|HIP 7607  |01 37 59.5024|+48 37 42.551|K3III       | 3.59|
|HIP 27072 |05 44 27.9750|-22 26 50.952|F7V         | 3.59|
|HIP 24674 |05 17 36.3989|-06 50 39.790|B5III       | 3.59|
|HIP 6537  |01 24 01.4512|-08 10 57.913|K0III       | 3.60|
|HIP 85727 |17 31 05.9769|-60 41 00.984|B8V         | 3.60|
|HIP 46651 |09 30 42.1130|-40 28 00.795|F2IV        | 3.60|
|HIP 42536 |08 40 17.6092|-52 55 19.101|B3IV        | 3.60|
|HIP 33018 |06 52 47.3401|+33 57 40.931|A3III       | 3.60|
|HIP 76470 |15 37 01.4586|-28 08 06.256|K3III       | 3.60|
|HIP 49841 |10 10 35.3971|-12 21 13.821|K0III       | 3.61|
|HIP 63613 |13 02 15.7775|-71 32 55.675|K2III       | 3.61|
|HIP 86929 |17 45 44.0024|-64 43 25.444|K1III       | 3.61|
|HIP 15900 |03 24 48.8376|+09 01 44.634|G8III       | 3.61|
|HIP 13209 |02 49 58.9894|+27 15 38.846|B8Vn        | 3.61|
|HIP 7097  |01 31 28.9939|+15 20 44.992|G8III       | 3.62|
|HIP 82729 |16 54 35.1052|-42 21 38.733|K4III       | 3.62|
|HIP 17847 |03 49 09.7312|+24 03 12.687|B8III       | 3.62|
|HIP 37819 |07 45 15.3039|-37 58 06.955|K4III       | 3.62|
|HIP 113726|23 01 55.2465|+42 19 33.523|B6pv SB     | 3.62|
|HIP 57363 |11 45 36.5673|-66 43 43.836|A7III       | 3.63|
|HIP 101769|20 37 32.8698|+14 35 42.730|F5IV        | 3.64|
|HIP 46733 |09 31 31.5697|+63 03 42.464|F0IV        | 3.65|
|HIP 110960|22 28 49.8006|-00 01 12.227|F3III-IV    | 3.65|
|HIP 20205 |04 19 47.5339|+15 37 39.721|G8III       | 3.65|
|HIP 88714 |18 06 37.8788|-50 05 29.237|B2Ib        | 3.65|
|HIP 77233 |15 46 11.2149|+15 25 18.934|A3V         | 3.65|
|HIP 75695 |15 27 49.8519|+29 06 19.770|F0p         | 3.66|
|HIP 76600 |15 38 39.3844|-29 46 39.682|B2.5V       | 3.66|
|HIP 68756 |14 04 23.4260|+64 22 32.911|A0III SB    | 3.67|
|HIP 103227|20 54 48.5796|-58 27 14.741|K0III       | 3.67|
|HIP 22549 |04 51 12.3660|+05 36 18.365|B2III SB    | 3.68|
|HIP 97365 |19 47 23.2652|+18 32 03.333|M2II + B6   | 3.68|
